"","id","cos_sim_1yr","cos_sim_2yr"
"185","615816",0.195180014589707,0.261861468283191
"186","621796",0.0740740740740741,0.149071198499986
"187","625218",0.144337567297406,0.129099444873581
"188","633400",0.0481125224324688,0.0968245836551854
"189","636040",0.134005042034562,0.202259958738973
"190","640660",0.205152484965555,0.192668658897113
"191","643006",0.298142396999972,0.366666666666667
"192","647136",0.251976315339485,0.197202659436654
"193","651559",0.038490017945975,0.129099444873581
"194","652988",0.0580258853185659,0.194624736040381
"195","652999",0.293972367896066,0.253546276418555
"196","655774",0.145478593490662,0.14638501094228
"197","664240",0.166666666666667,0.298142396999972
"198","669884",0.160128153805087,0.179028718509858
"199","670455",0.051434449987364,0.0690065559342354
"200","672705",0.182574185835055,0.204124145231931
"201","691870",0.0702728368926306,0.141421356237309
"202","943495",0.111111111111111,0.186338998124982
"203","950940",0.149071198499986,0.166666666666667
"204","972053",0.176604314275339,0.207322107215682
"205","981376",0.128300059819917,0.12909944487358
"206","988571",0.166666666666667,0.186338998124982
"207","997846",0.0883021571376696,0.148087219439773
"208","997926",0,0.0778498944161523
"209","997931",0.353553390593274,0.368932393686311
"210","998171",0.144337567297406,0.161374306091976
"211","605601",NA,NA
"212","614208",NA,NA
"213","615699",NA,NA
"214","632705",NA,NA
"215","632900",NA,NA
"216","634491",NA,NA
"217","640643",NA,NA
"218","649270",NA,NA
"219","652686",NA,NA
"220","666508",NA,NA
"221","667703",NA,NA
"222","670379",NA,NA
"223","672893",NA,NA
"224","673455",NA,NA
"225","680069",NA,NA
"226","681534",NA,NA
"227","683105",NA,NA
"228","684836",NA,NA
"229","695534",NA,NA
"230","696965",NA,NA
"231","700994",NA,NA
"232","703246",NA,NA
"233","704458",NA,NA
"234","705969",NA,NA
"235","707754",NA,NA
"236","710576",NA,NA
"237","715207",NA,NA
"238","717342",NA,NA
"239","720002",NA,NA
"240","721166",NA,NA
"241","727962",NA,NA
"242","950897",NA,NA
"243","960699",NA,NA
"244","999091",NA,NA
"245","644272",NA,NA
"246","672717",NA,NA
"247","683187",NA,NA
"248","722936",NA,NA
"249","723569",NA,NA
"250","728005",NA,NA
"251","730735",NA,NA
"252","735149",NA,NA
"253","739464",NA,NA
"254","739681",NA,NA
"255","762884",NA,NA
"256","763436",NA,NA
"257","768265",NA,NA
"258","809372",NA,NA
"259","813891",NA,NA
"260","826286",NA,NA
"261","915692",NA,NA
"262","926632",NA,NA
"263","927013",NA,NA
"264","928103",NA,NA
"265","928391",NA,NA
"266","928517",NA,NA
"267","928851",NA,NA
"268","929196",NA,NA
"269","929230",NA,NA
"270","929255",NA,NA
"271","929467",NA,NA
"272","929531",NA,NA
"273","931220",NA,NA
"274","931482",NA,NA
"275","932212",NA,NA
"276","932213",NA,NA
"277","932369",NA,NA
"278","932811",NA,NA
"279","932831",NA,NA
"280","932935",NA,NA
"281","933012",NA,NA
"282","933020",NA,NA
"283","933055",NA,NA
"284","933063",NA,NA
"285","933065",NA,NA
"286","933066",NA,NA
"287","934034",NA,NA
"288","934459",NA,NA
"289","934472",NA,NA
"290","934714",NA,NA
"291","935058",NA,NA
"292","935217",NA,NA
"293","935378",NA,NA
"294","935655",NA,NA
"295","935656",NA,NA
"296","935658",NA,NA
"297","935659",NA,NA
"298","935725",NA,NA
"299","935834",NA,NA
"300","936477",NA,NA
"301","936564",NA,NA
"302","936565",NA,NA
"303","936569",NA,NA
"304","936694",NA,NA
"305","937003",NA,NA
"306","937017",NA,NA
"307","937062",NA,NA
"308","937212",NA,NA
"309","937271",NA,NA
"310","937327",NA,NA
"311","937395",NA,NA
"312","937424",NA,NA
"313","937627",NA,NA
"314","937722",NA,NA
"315","937889",NA,NA
"316","937971",NA,NA
"317","938000",NA,NA
"318","938006",NA,NA
"319","938057",NA,NA
"320","938093",NA,NA
"321","938140",NA,NA
"322","938142",NA,NA
"323","938445",NA,NA
"324","938506",NA,NA
"325","938517",NA,NA
"326","938524",NA,NA
"327","938546",NA,NA
"328","938635",NA,NA
"329","938735",NA,NA
"330","938758",NA,NA
"331","938870",NA,NA
"332","938874",NA,NA
"333","938955",NA,NA
"334","939007",NA,NA
"335","939093",NA,NA
"336","939137",NA,NA
"337","939205",NA,NA
"338","939210",NA,NA
"339","939212",NA,NA
"340","939277",NA,NA
"341","939310",NA,NA
"342","939329",NA,NA
"343","939346",NA,NA
"344","939398",NA,NA
"345","939417",NA,NA
"346","939450",NA,NA
"347","939472",NA,NA
"348","939524",NA,NA
"349","939541",NA,NA
"350","939578",NA,NA
"351","939645",NA,NA
"352","939646",NA,NA
"353","939731",NA,NA
"354","939859",NA,NA
"355","939871",NA,NA
"356","939986",NA,NA
"357","940050",NA,NA
"358","941527",NA,NA
"359","941641",NA,NA
"360","941655",NA,NA
"361","941699",NA,NA
"362","941969",NA,NA
"363","941993",NA,NA
"364","942015",NA,NA
"365","942051",NA,NA
"366","942056",NA,NA
"367","942661",NA,NA
"368","942745",NA,NA
"369","942807",NA,NA
"370","942853",NA,NA
"371","942926",NA,NA
"372","943001",NA,NA
"373","943270",NA,NA
"374","943780",NA,NA
"375","943781",NA,NA
"376","928149",0.205615723406116,0.274404324646235
"377","928301",0.32009219983224,0.341743063086704
"378","928518",0.335279253736268,0.35422863859044
"379","930159",0.335279253736268,0.410159476262615
"380","930277",0.239535068790204,0.365338701822035
"381","931330",0.104541674697863,0.139516021283031
"382","932615",0.0858897501470802,0.229248215970261
"383","932860",0.106533123634265,0.236956180191007
"384","932917",0.0684385910829155,0.15983568204714
"385","932947",0.161955266035783,0.135085806739575
"386","933004",0.195579564679489,0.186436125573916
"387","933024",0.154418287296437,0.23183867351564
"388","933029",0.310535047022268,0.290097035926477
